type,variety,level_2,dist01,dist02,dist03,dist04,dist05,dist06,dist07,dist08,dist09,dist10,dist11,dist12,dist13,dist14,dist15,dist16,dist17
Table,Ivory Seedless ,brixfactor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Table,Ivory Seedless ,tons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1319.3,0.0,0.0,0.0
Table,Ivory Seedless ,wt_ave_base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,0.0,0.0,0.0
Table,Other Table  b/ ,brixfactor,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0
Table,Other Table  b/ ,tons,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.3,0.0,0.3,0.0,0.0,5.1,20718.6,0.0,5.0,0.0
Table,Other Table  b/ ,wt_ave_base,0.0,0.0,0.0,0.0,0.0,0.0,700.0,1200.0,0.0,1200.0,0.0,0.0,275.0,333.13,0.0,500.0,0.0
Table,Princess * ,brixfactor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Table,Princess * ,tons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,516.6,0.0,0.0,0.0
Table,Princess * ,wt_ave_base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0
Table,Pristine ,brixfactor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Table,Pristine ,tons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.5,0.0,0.0,0.0
Table,Pristine ,wt_ave_base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0
Table,Red Globe * ,brixfactor,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Table,Red Globe * ,tons,0.0,0.0,19.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.4,0.0,0.0,0.0
Table,Red Globe * ,wt_ave_base,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.51,0.0,0.0,0.0
Table,Ruby Seedless * ,brixfactor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Table,Ruby Seedless * ,tons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.7,0.0,0.0,0.0
Table,Ruby Seedless * ,wt_ave_base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0
